0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,
2,8,14,20,26,32,38,44,50,56,62,68,74,80,86,92,98,104,110,116,122,128,134,140,146,152,158,164,170,176,182,188,194,200,206,212,218,224,230,236,
7,21,35,49,63,77,91,105,119,133,147,161,175,189,203,217,231,245,259,273,287,301,315,329,343,357,371,385,399,413,427,441,455,469,483,497,511,525,539,553,
23,53,83,113,143,173,203,233,263,293,323,353,383,413,443,473,503,533,563,593,623,653,683,713,743,773,803,833,863,893,923,953,983,1013,1043,1073,1103,1133,1163,1193,
62,124,186,248,310,372,434,496,558,620,682,744,806,868,930,992,1054,1116,1178,1240,1302,1364,1426,1488,1550,1612,1674,1736,1798,1860,1922,1984,2046,2108,2170,2232,2294,2356,2418,2480,
144,270,396,522,648,774,900,1026,1152,1278,1404,1530,1656,1782,1908,2034,2160,2286,2412,2538,2664,2790,2916,3042,3168,3294,3420,3546,3672,3798,3924,4050,4176,4302,4428,4554,4680,4806,4932,5058,
301,555,809,1063,1317,1571,1825,2079,2333,2587,2841,3095,3349,3603,3857,4111,4365,4619,4873,5127,5381,5635,5889,6143,6397,6651,6905,7159,7413,7667,7921,8175,8429,8683,8937,9191,9445,9699,9953,10207,
586,1096,1606,2116,2626,3136,3646,4156,4666,5176,5686,6196,6706,7216,7726,8236,8746,9256,9766,10276,10786,11296,11806,12316,12826,13336,13846,14356,14866,15376,15886,16396,16906,17416,17926,18436,18946,19456,19966,20476,
1098,2120,3142,4164,5186,6208,7230,8252,9274,10296,11318,12340,13362,14384,15406,16428,17450,18472,19494,20516,21538,22560,23582,24604,25626,26648,27670,28692,29714,30736,31758,32780,33802,34824,35846,36868,37890,38912,39934,40956,
