iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,772.095,0,772.095
1,0,1,0,1,1799.59,0.912592,1800.5
2,0,1,1,1,1298.71,1.29095,1300
3,0,1,2,1,842.295,1.18227,843.478
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.13,0,1586.13
1,0,1,0,1,670.312,1.56356,671.876
2,0,1,1,1,1934.04,1.10789,1935.15
3,0,1,2,1,1795.9,2.24977,1798.15
4,0,2,0,1,1310.39,1.2879,1311.68
5,0,2,1,1,844.672,0.593857,845.266
6,0,2,2,1,865.524,1.29861,866.822
7,0,3,0,1,54.4618,576.405,630.867
8,0,3,1,1,2167.65,0.871976,2168.52
9,0,3,2,1,118.565,1.21951,119.785
10,0,4,0,1,1526.09,1.50482,1527.59
11,0,4,1,1,1852.57,1.04958,1853.62
12,0,4,2,1,1086.29,0.871336,1087.16
13,0,5,0,1,852.472,447.449,1299.92
14,0,5,1,1,1342.57,2.13966,1344.71
15,0,5,2,1,2207.04,1.23722,2208.28
16,0,6,0,1,422.895,1.38986,424.285
17,0,6,1,1,736.874,1.63688,738.51
18,0,6,2,1,1869.91,0.421656,1870.33
19,0,7,0,1,858.772,1.36858,860.14
20,0,7,1,1,1564.74,1.25459,1565.99
21,0,7,2,1,1060.33,0.896482,1061.23
22,0,8,0,1,1724.74,1.59035,1726.33
23,0,8,1,1,246.986,1.58519,248.572
24,0,8,2,1,947.617,0.712959,948.33
25,0,9,0,1,270.816,1591.11,1861.93
26,0,9,1,1,1860.49,1.1759,1861.66
27,0,9,2,1,1604.09,1.76031,1605.85
28,0,10,0,1,44.3075,1.6352,45.9427
29,0,10,1,1,1929.33,1.18304,1930.52
30,0,10,2,1,1628.76,0.542939,1629.31
iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
0,0,-2,-1,0,1586.23,0,1586.23
1,0,1,0,1,670.506,1.68254,672.188
2,0,1,1,1,1934.42,1.22308,1935.64
3,0,1,2,1,1794.58,0.764357,1795.35
4,0,2,0,1,1298.32,1.1022,1299.42
5,0,2,1,1,842.375,1.42813,843.803
6,0,2,2,1,879.967,0.531619,880.499
7,0,3,0,1,54.7833,575.243,630.026
8,0,3,1,1,2167.66,1.16854,2168.83
