time first event (ms),event,parameter
2362.21,11,0
2362.25,2,-2
2501.62,8,-1
2503.37,9,-1
2503.37,6,0
2516.23,7,0
2516.43,3,-2
2516.43,2,1
2516.43,8,0
2516.43,10,1
3532.81,9,0
3532.82,6,0
3534.45,7,0
3534.47,8,1
3534.47,10,1
4539.65,9,1
4539.66,6,0
4541.45,7,0
4541.47,8,2
4541.47,10,1
5546.29,9,2
5546.3,6,0
5552.49,7,0
5552.53,8,3
5552.53,10,1
6554.4,9,3
6554.4,6,0
6556.13,7,0
6556.15,8,4
6556.15,10,1
7557.77,9,4
7557.78,6,0
7561.75,7,0
7561.76,3,1
7561.76,2,2
7561.76,8,0
7561.76,10,1
8562.95,9,0
8562.96,6,0
8563.36,7,0
8563.37,8,1
8563.37,10,1
9580.54,9,1
9580.54,6,0
9581.6,7,0
9581.65,8,2
9581.66,10,1
10589.2,9,2
10589.2,6,0
10590.6,7,0
10590.6,8,3
10590.6,10,1
11596.6,9,3
11596.6,6,0
11603.3,7,0
11603.3,8,4
11603.3,10,1
12607,9,4
12607,6,0
12616.1,7,0
12616.1,3,2
12616.1,2,3
12616.1,8,0
12616.1,10,1
13637.2,9,0
13637.2,6,0
13649.1,7,0
13649.2,8,1
13649.2,10,1
14672.6,9,1
14672.6,6,0
14673,7,0
14673.1,8,2
14673.1,10,1
15674.7,9,2
15674.7,6,0
15677.1,7,0
15677.2,8,3
15677.2,10,1
16679.2,9,3
16679.2,6,0
16683.2,7,0
16683.2,8,4
16683.2,10,1
17686.5,9,4
17686.5,6,0
17693.2,7,0
17693.2,3,3
17693.2,2,4
17693.2,8,0
17693.2,10,1
18696,9,0
18696,6,0
18698.6,7,0
18698.7,8,1
18698.7,10,1
19705.2,9,1
19705.2,6,0
19710.4,7,0
19710.4,8,2
19710.4,10,1
20724,9,2
20724,6,0
20725.6,7,0
20725.6,8,3
20725.6,10,1
21730.6,9,3
21730.6,6,0
21734,7,0
21734,8,4
21734,10,1
22743.1,9,4
22743.1,6,0
22750.6,7,0
22750.8,3,4
22750.8,2,5
22750.8,8,0
22750.8,10,1
23752.2,9,0
23752.2,6,0
23759.4,7,0
23759.4,8,1
23759.4,10,1
24772.6,9,1
24772.6,6,0
24786.6,7,0
24786.8,8,2
24786.8,10,1
25830.8,9,2
25830.8,6,0
25846,7,0
25846.1,8,3
25846.1,10,1
26861.3,9,3
26861.3,6,0
26863.4,7,0
26863.4,8,4
26863.4,10,1
27870.8,9,4
27870.8,6,0
27873.5,7,0
27873.5,3,5
27873.5,2,6
27873.5,8,0
27873.5,10,1
28876.2,9,0
28876.2,6,0
28877.1,7,0
28877.1,8,1
28877.1,10,1
29892.3,9,1
29892.3,6,0
29893.5,7,0
29893.5,8,2
29893.5,10,1
30920.3,9,2
30920.3,6,0
30923.8,7,0
30923.9,8,3
30923.9,10,1
31929.2,9,3
31929.2,6,0
31942.6,7,0
31942.6,8,4
31942.6,10,1
32961.7,9,4
32961.7,6,0
32964.1,7,0
32964.1,3,6
32964.1,2,7
32964.1,8,0
32964.1,10,1
33983.6,9,0
33983.6,6,0
33985.3,7,0
33985.3,8,1
33985.3,10,1
34989.1,9,1
34989.1,6,0
34992.2,7,0
34992.2,8,2
34992.2,10,1
36008.2,9,2
36008.2,6,0
36012,7,0
36012.1,8,3
36012.1,10,1
37031.1,9,3
37031.1,6,0
37031.8,7,0
37031.8,8,4
37031.8,10,1
38039.7,9,4
38039.7,6,0
38053,7,0
38053,3,7
38053,2,8
38053,8,0
38053,10,1
39079.1,9,0
39079.1,6,0
39082.8,7,0
39082.9,8,1
39082.9,10,1
40088.4,9,1
40088.4,6,0
40093.6,7,0
40093.7,8,2
40093.7,10,1
41094.6,9,2
41094.6,6,0
41098.8,7,0
41098.9,8,3
41098.9,10,1
42106.9,9,3
42106.9,6,0
42109.7,7,0
42110.4,8,4
42110.4,10,1
43115.3,9,4
43115.3,6,0
43117.8,7,0
43117.8,3,8
43117.8,2,9
43117.8,8,0
43117.8,10,1
44127.5,9,0
44127.5,6,0
44129.4,7,0
44129.5,8,1
44129.5,10,1
45135.4,9,1
45135.4,6,0
45137.4,7,0
45137.4,8,2
45137.4,10,1
46145.7,9,2
46145.7,6,0
46153.7,7,0
46153.8,8,3
46153.8,10,1
47158.6,9,3
47158.6,6,0
47160,7,0
47160,8,4
47160,10,1
48186.8,9,4
48186.8,6,0
48192.3,7,0
48192.4,3,9
48192.4,2,10
48192.4,8,0
48192.4,10,1
49202.9,9,0
49202.9,6,0
49203.6,7,0
49203.6,8,1
49203.6,10,1
50212.9,9,1
50212.9,6,0
50215.4,7,0
50215.4,8,2
50215.4,10,1
51224.8,9,2
51224.8,6,0
51229,7,0
51229.1,8,3
51229.1,10,1
52233.8,9,3
52233.8,6,0
52234.9,7,0
52234.9,8,4
52234.9,10,1
53242.9,9,4
53242.9,6,0
53246.6,7,0
