time first event (ms),event,parameter
558.6,11,0
2494.68,2,1
2494.82,96,1
2494.83,97,1
2494.84,0,0
2510.04,96,2
2510.05,97,2
2510.1,6,0
2510.13,98,0
2510.14,8,0
2510.16,99,0
2510.16,7,0
2510.17,98,0
2510.18,8,0
2510.19,99,0
3530.03,96,3
3530.05,97,3
3530.1,9,0
3533.36,96,4
3533.37,97,4
3533.45,9,0
3533.48,6,0
3533.54,98,1
3533.56,8,1
3533.61,99,1
3533.62,7,0
3533.65,98,1
3533.67,8,1
3533.71,99,1
4537.43,96,5
4537.44,97,5
4537.49,9,1
4540.33,96,6
4540.34,97,6
4540.43,9,1
4540.77,6,0
4541.17,98,2
4541.18,8,2
4541.24,99,2
4541.24,7,0
4541.27,98,2
4541.27,8,2
4541.31,99,2
5546.78,96,7
5546.79,97,7
5546.85,9,2
5546.87,6,0
5550.41,96,8
5550.42,97,8
5550.5,9,2
5550.6,98,3
5550.61,8,3
5550.66,99,3
5550.66,7,0
5550.68,98,3
5550.69,8,3
5550.72,99,3
6553.76,96,9
6553.76,97,9
6553.81,9,3
6555.2,96,10
6555.21,97,10
6555.37,9,3
6555.42,6,0
6555.46,98,4
6555.46,8,4
6555.5,99,4
6555.5,7,0
6555.53,98,4
6555.53,8,4
6555.55,99,4
7559.23,96,11
7559.24,97,11
7559.32,9,4
7559.34,6,0
7560.23,96,12
7560.23,97,12
7560.28,9,4
7561.37,4,1
7561.45,5,1
7561.45,7,0
7561.45,3,1
7561.46,2,2
7561.46,6,0
7561.49,98,0
7561.5,8,0
7561.53,99,0
7561.54,7,0
7561.56,98,0
7561.56,8,0
7561.58,99,0
8562.96,96,13
8562.96,97,13
8563,9,0
8563.17,96,14
8563.17,97,14
8563.2,9,0
8563.21,6,0
8563.24,98,1
8563.25,8,1
8563.32,99,1
8563.33,7,0
8563.34,98,1
8563.35,8,1
8563.41,99,1
9578.09,96,15
9578.1,97,15
9578.15,9,1
9580.7,96,16
9580.71,97,16
9580.76,9,1
9580.8,6,0
9581,98,2
9581.01,8,2
9583.16,99,2
9583.17,7,0
9586.82,98,2
9586.84,8,2
9588.05,99,2
10589.8,96,17
10589.8,97,17
10589.9,9,2
10589.9,6,0
10590.3,96,18
10590.3,97,18
