rank,start_time,end_time,region,parameter_open,parameter_close
0,2501.620394,2503.367004,Propagation,-1,-1
0,2503.372194,2516.225146,Runner idle,0,0
0,2362.245541,2516.429957,Iteration,-2,-2
0,2516.43253,3532.808396,Propagation,0,0
0,3532.817584,3534.4512,Runner idle,0,0
0,3534.472358,4539.649719,Propagation,1,1
0,4539.655339,4541.453833,Runner idle,0,0
0,4541.469387,5546.290271,Propagation,2,2
0,5546.296271,5552.488108,Runner idle,0,0
0,5552.531991,6554.395415,Propagation,3,3
0,6554.400904,6556.134084,Runner idle,0,0
0,6556.148145,7557.774394,Propagation,4,4
0,7557.778583,7561.748528,Runner idle,0,0
0,2516.432101,7561.757857,Iteration,1,1
0,7561.758841,8562.954167,Propagation,0,0
0,8562.958506,8563.358886,Runner idle,0,0
0,8563.37285,9580.537599,Propagation,1,1
0,9580.54216,9581.602238,Runner idle,0,0
0,9581.653764,10589.199362,Propagation,2,2
0,10589.204344,10590.615223,Runner idle,0,0
0,10590.628936,11596.61921,Propagation,3,3
0,11596.62317,11603.281406,Runner idle,0,0
0,11603.307845,12606.990366,Propagation,4,4
0,12606.99509,12616.055095,Runner idle,0,0
0,7561.758516,12616.071839,Iteration,2,2
0,12616.073057,13637.17997,Propagation,0,0
0,13637.184595,13649.139891,Runner idle,0,0
0,13649.151462,14672.599813,Propagation,1,1
0,14672.604986,14673.047741,Runner idle,0,0
0,14673.05839,15674.712144,Propagation,2,2
0,15674.717623,15677.140873,Runner idle,0,0
0,15677.164434,16679.159974,Propagation,3,3
0,16679.1641,16683.202036,Runner idle,0,0
0,16683.216181,17686.545234,Propagation,4,4
0,17686.549681,17693.227009,Runner idle,0,0
0,12616.072638,17693.24205,Iteration,3,3
0,17693.242982,18695.954291,Propagation,0,0
0,18695.960275,18698.636606,Runner idle,0,0
0,18698.651991,19705.157445,Propagation,1,1
0,19705.163766,19710.403951,Runner idle,0,0
0,19710.420329,20724.001875,Propagation,2,2
0,20724.008632,20725.601358,Runner idle,0,0
0,20725.625792,21730.633748,Propagation,3,3
0,21730.639497,21733.966847,Runner idle,0,0
0,21733.988595,22743.092854,Propagation,4,4
0,22743.099917,22750.602592,Runner idle,0,0
0,17693.242585,22750.795054,Iteration,4,4
0,22750.797436,23752.205532,Propagation,0,0
0,23752.214248,23759.354764,Runner idle,0,0
0,23759.363737,24772.61,Propagation,1,1
0,24772.615753,24786.562266,Runner idle,0,0
0,24786.752412,25830.809827,Propagation,2,2
0,25830.821141,25846.048994,Runner idle,0,0
0,25846.06246,26861.323224,Propagation,3,3
0,26861.328274,26863.433075,Runner idle,0,0
0,26863.447244,27870.836494,Propagation,4,4
0,27870.841646,27873.480643,Runner idle,0,0
0,22750.797069,27873.505575,Iteration,5,5
0,27873.508415,28876.192141,Propagation,0,0
0,28876.198953,28877.080086,Runner idle,0,0
0,28877.094271,29892.255953,Propagation,1,1
0,29892.259647,29893.465406,Runner idle,0,0
0,29893.522833,30920.308165,Propagation,2,2
0,30920.313638,30923.811407,Runner idle,0,0
0,30923.902579,31929.163193,Propagation,3,3
0,31929.171697,31942.577545,Runner idle,0,0
0,31942.591361,32961.65739,Propagation,4,4
0,32961.665248,32964.090226,Runner idle,0,0
0,27873.507677,32964.115437,Iteration,6,6
0,32964.117762,33983.572042,Propagation,0,0
0,33983.577212,33985.299335,Runner idle,0,0
0,33985.325143,34989.050631,Propagation,1,1
0,34989.055679,34992.221758,Runner idle,0,0
0,34992.237836,36008.238221,Propagation,2,2
0,36008.24558,36011.960978,Runner idle,0,0
0,36012.093197,37031.090064,Propagation,3,3
0,37031.095346,37031.789167,Runner idle,0,0
0,37031.807693,38039.730982,Propagation,4,4
0,38039.739012,38052.972759,Runner idle,0,0
0,32964.11709,38052.987542,Iteration,7,7
0,38052.988677,39079.07935,Propagation,0,0
0,39079.084915,39082.842458,Runner idle,0,0
0,39082.856541,40088.431878,Propagation,1,1
0,40088.438254,40093.643582,Runner idle,0,0
0,40093.679887,41094.637855,Propagation,2,2
0,41094.644026,41098.846715,Runner idle,0,0
0,41098.863601,42106.886152,Propagation,3,3
0,42106.893309,42109.718331,Runner idle,0,0
0,42110.370784,43115.318789,Propagation,4,4
0,43115.32519,43117.814918,Runner idle,0,0
0,38052.98833,43117.834785,Iteration,8,8
0,43117.837322,44127.499589,Propagation,0,0
0,44127.504177,44129.444616,Runner idle,0,0
0,44129.465519,45135.437672,Propagation,1,1
0,45135.44498,45137.382386,Runner idle,0,0
0,45137.408701,46145.665596,Propagation,2,2
0,46145.670875,46153.746389,Runner idle,0,0
0,46153.762883,47158.581931,Propagation,3,3
0,47158.588054,47159.95271,Runner idle,0,0
0,47159.970944,48186.766884,Propagation,4,4
0,48186.772767,48192.34043,Runner idle,0,0
0,43117.836515,48192.358787,Iteration,9,9
0,48192.360254,49202.919943,Propagation,0,0
0,49202.925171,49203.5565,Runner idle,0,0
0,49203.566396,50212.883689,Propagation,1,1
0,50212.888766,50215.358119,Runner idle,0,0
0,50215.380816,51224.810758,Propagation,2,2
0,51224.819014,51229.034852,Runner idle,0,0
0,51229.112557,52233.801135,Propagation,3,3
0,52233.809511,52234.885532,Runner idle,0,0
0,52234.900641,53242.872722,Propagation,4,4
0,53242.883366,53246.618655,Runner idle,0,0
