rank,start_time,end_time,region,parameter_open,parameter_close
0,2494.821718,2494.827536,ZMQ recv state data,1,1
0,2510.039144,2510.048085,ZMQ recv state data,2,2
0,2510.131268,2510.157123,ZMQ send state data,0,0
0,2510.099181,2510.159525,Runner idle,0,0
0,2510.173236,2510.19365,ZMQ send state data,0,0
0,3530.027759,3530.047155,ZMQ recv state data,3,3
0,2510.175567,3530.100368,State propagation,0,0
0,3533.359817,3533.374808,ZMQ recv state data,4,4
0,2510.137488,3533.445102,State propagation,0,0
0,3533.543397,3533.61018,ZMQ send state data,1,1
0,3533.47899,3533.61574,Runner idle,0,0
0,3533.646697,3533.712127,ZMQ send state data,1,1
0,4537.434978,4537.441897,ZMQ recv state data,5,5
0,3533.66834,4537.490056,State propagation,1,1
0,4540.332558,4540.342646,ZMQ recv state data,6,6
0,3533.555368,4540.428715,State propagation,1,1
0,4541.170552,4541.236564,ZMQ send state data,2,2
0,4540.772062,4541.240813,Runner idle,0,0
0,4541.270732,4541.308566,ZMQ send state data,2,2
0,5546.781741,5546.791008,ZMQ recv state data,7,7
0,4541.274536,5546.845066,State propagation,2,2
0,5550.411554,5550.424329,ZMQ recv state data,8,8
0,4541.184749,5550.498613,State propagation,2,2
0,5550.598129,5550.65569,ZMQ send state data,3,3
0,5546.868225,5550.660297,Runner idle,0,0
0,5550.68461,5550.722008,ZMQ send state data,3,3
0,6553.757108,6553.764837,ZMQ recv state data,9,9
0,5550.688869,6553.807829,State propagation,3,3
0,6555.195671,6555.206143,ZMQ recv state data,10,10
0,5550.60835,6555.365782,State propagation,3,3
0,6555.455943,6555.496484,ZMQ send state data,4,4
0,6555.423402,6555.499693,Runner idle,0,0
0,6555.52511,6555.546816,ZMQ send state data,4,4
0,7559.232212,7559.240013,ZMQ recv state data,11,11
0,6555.528038,7559.323506,State propagation,4,4
0,7560.226092,7560.233544,ZMQ recv state data,12,12
0,6555.464713,7560.280204,State propagation,4,4
0,7561.36818,7561.445906,Filter Update,1,1
0,7559.344025,7561.450712,Runner idle,0,0
0,2494.680166,7561.451395,Iteration,1,1
0,7561.494343,7561.533444,ZMQ send state data,0,0
0,7561.45873,7561.539076,Runner idle,0,0
0,7561.555257,7561.578884,ZMQ send state data,0,0
0,8562.957927,8562.964642,ZMQ recv state data,13,13
0,7561.55915,8563.000989,State propagation,0,0
0,8563.165112,8563.169292,ZMQ recv state data,14,14
0,7561.501735,8563.199059,State propagation,0,0
0,8563.241299,8563.321798,ZMQ send state data,1,1
0,8563.212358,8563.325392,Runner idle,0,0
0,8563.343471,8563.411402,ZMQ send state data,1,1
