0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,
2,8,14,20,26,32,38,44,50,56,62,68,74,80,86,92,98,104,110,116,122,128,134,140,146,152,158,164,170,176,182,188,194,200,206,212,218,224,230,236,
5,19,33,47,61,75,89,103,117,131,145,159,173,187,201,215,229,243,257,271,285,299,313,327,341,355,369,383,397,411,425,439,453,467,481,495,509,523,537,551,
13,43,73,103,133,163,193,223,253,283,313,343,373,403,433,463,493,523,553,583,613,643,673,703,733,763,793,823,853,883,913,943,973,1003,1033,1063,1093,1123,1153,1183,
30,92,154,216,278,340,402,464,526,588,650,712,774,836,898,960,1022,1084,1146,1208,1270,1332,1394,1456,1518,1580,1642,1704,1766,1828,1890,1952,2014,2076,2138,2200,2262,2324,2386,2448,
63,189,315,441,567,693,819,945,1071,1197,1323,1449,1575,1701,1827,1953,2079,2205,2331,2457,2583,2709,2835,2961,3087,3213,3339,3465,3591,3717,3843,3969,4095,4221,4347,4473,4599,4725,4851,4977,
127,381,635,889,1143,1397,1651,1905,2159,2413,2667,2921,3175,3429,3683,3937,4191,4445,4699,4953,5207,5461,5715,5969,6223,6477,6731,6985,7239,7493,7747,8001,8255,8509,8763,9017,9271,9525,9779,10033,
254,764,1274,1784,2294,2804,3314,3824,4334,4844,5354,5864,6374,6884,7394,7904,8414,8924,9434,9944,10454,10964,11474,11984,12494,13004,13514,14024,14534,15044,15554,16064,16574,17084,17594,18104,18614,19124,19634,20144,
509,1531,2553,3575,4597,5619,6641,7663,8685,9707,10729,11751,12773,13795,14817,15839,16861,17883,18905,19927,20949,21971,22993,24015,25037,26059,27081,28103,29125,30147,31169,32191,33213,34235,35257,36279,37301,38323,39345,40367,
